CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,62,1,NA,0,0,0,20,393,60,0,240,0,0,0,655
20100000000000,53,1,3,0,0,0,30,35,35,0,150,0,0,475,580
20100000000000,79,1,2,0,0,0,70,245,0,0,445,0,0,0,600
20100000000000,67,1,2,10,0,0,45,30,0,0,455,0,0,4,889
20100000000000,62,2,4,390,0,0,30,500,0,0,310,0,0,0,210
20100000000000,50,2,4,0,0,0,0,95,0,165,60,0,115,265,595
20100000000000,47,2,3,0,5,0,45,162,0,0,733,0,0,0,450
20100000000000,18,2,1,0,0,246,106,15,0,0,400,0,0,60,515
20100000000000,48,2,3,0,0,0,75,41,35,0,220,69,0,265,630
20100000000000,85,2,2,0,0,0,60,0,0,275,145,0,0,0,660
20100000000000,36,2,4,90,0,0,90,105,0,0,480,0,0,0,675
20100000000000,64,1,3,10,0,0,60,30,0,0,700,0,0,0,580
20100000000000,42,1,3,0,0,0,29,21,20,0,374,0,0,455,420
20100000000000,65,2,3,0,0,0,45,75,0,45,225,0,420,0,630
20100000000000,80,2,2,0,0,0,90,105,0,0,300,0,0,0,555
20100000000000,56,2,3,45,0,0,0,30,0,0,105,0,0,742,390
20100000000000,34,1,2,280,0,610,25,15,0,0,182,0,0,30,220
20100000000000,57,2,3,0,0,0,75,60,60,0,0,0,0,550,520
20100000000000,34,1,3,22,0,0,15,130,60,0,206,0,0,90,808
20100000000000,35,2,2,10,0,0,0,0,0,0,120,0,0,575,510
20100000000000,59,2,2,0,0,0,40,40,35,0,255,0,0,505,430
20100000000000,31,2,2,360,0,0,90,231,94,0,15,0,0,0,410
20100000000000,52,2,1,0,0,120,60,200,0,70,350,60,0,0,500
20100000000000,52,2,2,0,60,0,15,59,45,0,570,0,0,0,605
20100000000000,80,2,5,0,0,0,180,240,0,0,690,0,0,0,330
20100000000000,44,2,NA,0,0,0,60,235,60,0,305,0,0,0,720
20100000000000,51,2,NA,0,0,0,0,65,0,0,310,0,0,525,408
20100000000000,39,2,NA,210,0,0,80,315,0,0,190,0,0,0,630
20100000000000,61,1,NA,0,0,0,105,150,45,0,770,0,0,0,240
20100000000000,60,1,NA,0,5,0,42,125,15,0,486,0,0,0,300
20100000000000,71,1,NA,0,0,0,70,0,0,0,0,0,0,1030,320
20100000000000,16,2,NA,0,0,195,60,185,0,0,10,0,240,0,380
20100000000000,45,1,NA,0,0,0,75,30,60,0,480,0,0,0,765
20100000000000,36,1,NA,60,0,0,30,35,0,20,273,25,60,473,385
20100000000000,37,2,NA,60,0,0,60,450,90,0,135,0,0,0,600
20100000000000,62,2,NA,0,0,0,75,180,0,0,15,0,0,480,420
20100000000000,54,1,2,2,1,0,85,1,40,0,596,0,0,5,590
20100000000000,57,2,2,0,0,0,55,402,0,55,303,0,0,0,570
20100000000000,44,2,3,0,45,0,15,75,0,0,355,200,0,0,570
20100000000000,62,2,3,0,0,0,30,180,120,0,435,0,0,0,480
20100000000000,58,1,2,30,0,0,120,0,0,0,15,0,90,490,515
20100000000000,55,2,2,0,0,0,25,50,35,0,90,0,0,456,545
20100000000000,80,2,NA,0,60,60,160,80,50,0,120,0,0,0,570
20100000000000,75,2,NA,0,0,0,45,186,0,0,647,0,0,0,510
20100000000000,36,1,4,0,0,0,90,60,0,0,630,0,0,0,630
20100000000000,58,1,1,0,0,0,25,15,120,0,296,0,0,430,450
20100000000000,36,1,2,0,0,0,135,90,0,0,180,30,0,525,450
20100000000000,46,2,4,0,0,0,30,75,0,0,705,0,0,0,540
20100000000000,35,1,NA,60,0,0,35,0,0,0,160,0,0,525,610
20100000000000,31,1,1,0,0,0,50,0,0,0,670,0,0,240,480
20100000000000,25,2,1,50,0,0,45,30,0,90,286,0,0,20,585
20100000000000,50,1,NA,26,0,0,46,350,0,0,110,0,0,0,847
20100000000000,60,1,NA,0,0,0,70,0,0,0,0,0,0,720,450
20100000000000,62,2,2,0,0,0,70,290,0,0,230,0,0,250,525
20100000000000,25,1,1,40,0,0,60,0,0,0,120,0,0,475,540
20100000000000,37,2,3,0,0,0,75,315,0,0,360,0,0,0,690
20100000000000,29,1,3,0,0,0,45,0,30,0,815,0,0,0,480
20100000000000,15,1,3,0,0,425,50,0,0,0,320,0,0,0,613
20100000000000,65,2,NA,0,0,0,15,12,0,0,275,0,0,0,510
20100000000000,47,2,1,150,5,0,75,445,90,0,90,0,0,0,510
20100000000000,49,2,NA,0,0,0,50,185,180,0,155,0,0,0,540
20100000000000,28,1,3,120,0,0,120,0,0,0,120,0,0,540,480
20100000000000,50,2,2,0,0,0,65,145,0,60,135,0,0,480,505
20100000000000,48,1,3,0,0,0,75,540,0,0,215,0,0,0,600
20100000000000,57,1,NA,0,0,0,0,40,0,0,980,0,0,0,420
20100000000000,66,1,NA,0,0,0,75,0,0,0,735,15,0,0,600
20100000000000,16,2,NA,0,0,0,50,0,0,0,427,0,0,0,660
20100000000000,58,1,1,0,0,0,105,10,30,0,0,0,0,470,570
20100000000000,34,1,NA,0,0,0,65,345,0,0,100,300,0,0,630
20100000000000,65,1,4,0,0,0,75,210,0,0,544,120,0,0,480
20100000000000,42,1,1,0,0,0,20,30,0,0,393,0,0,633,270
20100000000000,46,2,NA,0,0,0,70,31,0,0,275,0,0,439,465
20100000000000,34,2,NA,255,0,0,45,255,0,0,30,0,0,300,490
20100000000000,44,1,2,180,0,0,60,0,0,0,555,0,0,0,510
20100000000000,61,1,NA,0,0,0,35,18,10,0,902,0,0,0,420
20100000000000,67,2,NA,0,0,0,90,190,20,0,290,95,0,0,705
20100000000000,44,2,NA,60,0,0,0,0,0,0,135,0,0,660,450
20100000000000,65,2,3,20,4,0,20,170,50,0,233,0,0,0,633
20100000000000,67,2,NA,0,2,0,10,180,120,0,360,0,0,0,658
20100000000000,26,1,3,0,0,585,15,60,2,0,460,0,0,0,230
20100000000000,58,1,3,0,0,0,150,0,0,0,570,0,0,0,600
20100000000000,50,2,NA,0,90,0,17,48,0,0,30,0,0,590,560
20100000000000,28,2,NA,125,0,0,110,150,60,0,210,0,0,0,735
20100000000000,49,2,1,0,0,0,240,0,0,0,0,0,0,555,600
20100000000000,73,2,NA,0,0,0,95,290,0,120,45,0,0,0,840
20100000000000,73,2,3,0,0,0,155,290,60,0,300,0,0,0,495
20100000000000,54,1,4,0,0,0,90,0,0,0,450,0,0,0,570
20100000000000,37,2,3,1,0,0,40,350,62,0,242,0,0,0,670
20100000000000,16,2,2,0,15,0,15,40,26,0,155,0,0,465,595
20100000000000,30,1,2,0,0,0,200,180,0,0,60,0,0,240,615
20100000000000,38,2,1,0,0,0,90,60,0,0,120,0,0,515,465
20100000000000,72,2,2,0,0,0,90,85,35,72,312,0,0,0,540
20100000000000,17,1,2,0,0,90,60,60,0,0,495,0,0,0,735
20100000000000,85,2,4,0,0,0,105,120,90,60,470,0,0,0,540
20100000000000,18,2,3,0,0,0,45,0,155,0,318,0,0,180,575
20100000000000,57,2,3,0,0,0,175,415,30,0,30,0,0,230,450
20100000000000,24,1,3,20,0,0,40,20,19,110,114,0,0,500,455
20100000000000,60,1,2,0,0,0,20,80,0,0,755,0,0,0,585
20100000000000,66,2,3,0,0,0,15,5,0,0,0,0,0,510,845
20100000000000,28,1,NA,0,0,0,5,130,0,0,205,0,0,485,435
20100000000000,33,2,1,41,0,0,35,495,0,0,209,0,0,0,570
